SOB_ID;DB_Status;SOB_as_code;SOB_ring;DB_Status_Date_Active;DB_Status_Date_Inactive
SOB_20260105T163218743374Z_Z53OOXCGGNH7;Active;TGB101_10mX4196740000Y2988750000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218743520Z_V5ZVA4KE7ZFL;Active;TGB101_10mX4197230000Y2988560000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218743666Z_T4MUMSUY5RH2;Active;TGB101_10mX4197420000Y2988480000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218743815Z_PTHU3GZ6CZAO;Active;TGB101_10mX4197370000Y2988410000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218743961Z_H3PXGYOC4JDH;Active;TGB101_10mX4197010000Y2988860000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218744103Z_AKXFQMJ2PNG6;Active;TGB101_10mX4197580000Y2988790000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218744267Z_22YU76RU6JD5;Active;TGB101_10mX4196730000Y2989270000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218744416Z_BTYOA54GDBA6;Active;TGB101_10mX4196610000Y2989190000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218744565Z_GVL63R6VL5FZ;Active;TGB101_10mX4169940000Y2986200000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218744708Z_S7CWAXDRCNAT;Active;TGB101_10mX4196740000Y2989160000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218744852Z_CKW3TGCKRZBQ;Active;TGB101_10mX4192710000Y2989410000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218744995Z_K55O6QSFIBCV;Active;TGB101_10mX4195680000Y2987710000Z0;0;2026-01-05 16:32:23;
